# Bernd Westphal, Website: www.Astroprtpzessor.eu, Mail: glomph@web.de

SO KON AS; Zeit des 'Nichts machen können' ist vorbei
VE TRI AS; gewünschtes bei anderen erreichen
VE TRI AS; liebevoller Umgang mit anderen
VE TRI JU; Besuche
VE TRI JU; Festlichkeiten
VE TRI JU; Geselligkeit
VE TRI JU; harmonische Beziehungen
VE TRI JU; Liebesglück
VE TRI JU; Vergnügungen
VE TRI KN; entgegenkommen
VE TRI KN; gewünschte Begegnungen
VE TRI KN; Liebesbekanntschaft
VE TRI MA; Erotik
VE TRI MA; großes Liebesbedürfnis
VE TRI MA; im Begehren sein
VE TRI MA; künstlerische Gestaltungskraft
VE TRI MA; Sinnlichkeit
VE TRI MC; angenehmes im Beruf
VE TRI MC; angenehmes in Heim und Familie
VE TRI MC; Bewusstsein für das Schöne
VE TRI MC; Sinn für Ästhetik und Kunst
VE TRI ME; Liebesgespräche
VE TRI MO; Geselligkeit
VE TRI MO; Harmonie
VE TRI MO; Liebesempfinden
VE TRI MO; Vergnügungen
VE TRI MO; Zufriedenheit
VE TRI NE; künstlerische Darbietungen
VE TRI NE; Seereisen
VE TRI NE; Utopie
VE TRI NE; verfeinerte Liebe
VE TRI NE; verträumt
VE TRI NE; viele Wünsche
VE TRI NE; weite Reisen
VE TRI PL; gesteigertes Triebleben
VE TRI PL; starkes Liebesempfinden
VE TRI PL; Wunscherfüllung
VE TRI SA; freiwilliger Verzicht
VE TRI SA; Nüchternheit
VE TRI SA; Pflichtgefühl
VE TRI SA; Sparsamkeit
VE TRI SA; Vorsicht
VE TRI SA; Wirklichkeitssinn
VE TRI SO; schöner Tag
VE TRI SO; schöner Tag
VE TRI UR; angehme Überraschung
VE TRI UR; angenehme Überraschungen
VE TRI UR; Besuche
VE TRI UR; plötzliche Zuneigung
VE TRI VE; wunschgemäß

MA KON AS; eigene Kräfte einsetzen können
MA KON AS; Erfolge erzwingen wollen
MA KON AS; Leitwolf sein
MA KON JU; Arbeitsfreude
MA KON JU; geschäftliche Erfolge
MA KON JU; günstig für Prozesse
MA KON JU; Marstransite wirken oft ein bis zwei Tage vor
MA KON JU; Schaffenskraft
MA KON KN; Begegnung mit aggressiven Menschen
MA KON KN; Begegnung mit kämpfenden Menschen
MA KON KN; disharmonische Arbeitsverbindung
MA KON KN; Störung im Teamwork
MA KON MA; gut arbeiten können
MA KON MC; Aufregungen
MA KON MC; berufliche Schwierigkeiten
MA KON MC; im Beruf kämpfen müssen
MA KON MC; Sieg
MA KON ME; Streitgefahr
MA KON MO; Affekthandlungen
MA KON MO; innere Unruhe
MA KON MO; sich bedroht fühlen
MA KON MO; Streitigkeiten
MA KON MO; unfallgefährdet
MA KON NE; Enttäuschungen
MA KON NE; geschädigt werden
MA KON NE; heimliche Feinde am Werk
MA KON NE; kraftlos
MA KON NE; krankhafte Zustände
MA KON NE; Minderwertigkeitsgefühle
MA KON NE; nicht handeln können
MA KON NE; Unzufriedenheit
MA KON PL; auf Gedeih und Verderb
MA KON PL; Gefahr für Verletzungen
MA KON PL; Gefahr vor Unfällen
MA KON PL; geschädigt werden
MA KON PL; Gewalttaten
MA KON PL; größte Anstrengung
MA KON SA; Energieblockade
MA KON SA; gegen Widerstände kämpfen
MA KON SA; Härten
MA KON SA; Trauer
MA KON SO; Streit oder gar Unfall
MA KON UR; Bruchspannung
MA KON UR; innere Unruhe
MA KON UR; Neigung zu Unfällen
MA KON UR; Neigung zu Verletzungen
MA KON UR; Nervenproben
MA KON UR; überspannte Energie
MA KON VE; sexuelle Gespanntheit
MA OPP AS; Konflikte mit der Welt
MA OPP JU; juristische Konflikte
MA OPP JU; Marstransite wirken oft ein bis zwei Tage vor
MA OPP JU; unangemessenes Handeln
MA OPP JU; zu faul oder zu fleißig
MA OPP KN; Begegnung mit aggressiven Menschen
MA OPP KN; Begegnung mit kämpfenden Menschen
MA OPP KN; disharmonische Arbeitsverbindung
MA OPP KN; Störung im Teamwork
MA OPP MA; tun kann schieflaufen
MA OPP MC; beruflich ungünstig
MA OPP MC; Streit in der Familie
MA OPP ME; Streitgefahr
MA OPP MO; Affekthandlungen
MA OPP MO; innere Unruhe
MA OPP MO; Marstransite wirken oft ein bis zwei Tage vor
MA OPP MO; sich bedroht fühlen
MA OPP MO; Streitigkeiten
MA OPP MO; unfallgefährdet
MA OPP NE; Enttäuschungen
MA OPP NE; geschädigt werden
MA OPP NE; heimliche Feinde am Werk
MA OPP NE; kraftlos
MA OPP NE; krankhafte Zustände
MA OPP NE; Minderwertigkeitsgefühle
MA OPP NE; nicht handeln können
MA OPP NE; Unzufriedenheit
MA OPP PL; auf Gedeih und Verderb
MA OPP PL; Gefahr für Verletzungen
MA OPP PL; Gefahr vor Unfällen
MA OPP PL; geschädigt werden
MA OPP PL; Gewalttaten
MA OPP PL; größte Anstrengung
MA OPP SA; Energieblockade
MA OPP SA; gegen Widerstände kämpfen
MA OPP SA; Härten
MA OPP SA; Trauer
MA OPP SO; Streit oder gar Unfall
MA OPP UR; Bruchspannung
MA OPP UR; innere Unruhe
MA OPP UR; Neigung zu Unfällen
MA OPP UR; Neigung zu Verletzungen
MA OPP UR; Nervenproben
MA OPP UR; überspannte Energie
MA OPP VE; sexuelle Gespanntheit
MA QUA AS; Differenzen
MA QUA AS; Konflikte
MA QUA AS; mit sich und der Welt im Krieg
MA QUA AS; Streit
MA QUA JU; juristische Konflikte
MA QUA JU; Marstransite wirken oft ein bis zwei Tage vor
MA QUA JU; unangemessenes Handeln
MA QUA JU; zu faul oder zu fleißig
MA QUA KN; Begegnung mit aggressiven Menschen
MA QUA KN; Begegnung mit kämpfenden Menschen
MA QUA KN; disharmonische Arbeitsverbindung
MA QUA KN; Störung im Teamwork
MA QUA MA; tun kann schieflaufen
MA QUA ME; Streitgefahr
MA QUA MO; Affekthandlungen
MA QUA MO; innere Unruhe
MA QUA MO; Marstransite wirken oft ein bis zwei Tage vor
MA QUA MO; sich bedroht fühlen
MA QUA MO; Streitigkeiten
MA QUA MO; unfallgefährdet
MA QUA NE; Enttäuschungen
MA QUA NE; geschädigt werden
MA QUA NE; heimliche Feinde am Werk
MA QUA NE; kraftlos
MA QUA NE; krankhafte Zustände
MA QUA NE; Minderwertigkeitsgefühle
MA QUA NE; nicht handeln können
MA QUA NE; Unzufriedenheit
MA QUA PL; auf Gedeih und Verderb
MA QUA PL; Gefahr für Verletzungen
MA QUA PL; Gefahr vor Unfällen
MA QUA PL; geschädigt werden
MA QUA PL; Gewalttaten
MA QUA PL; größte Anstrengung
MA QUA SA; Energieblockade
MA QUA SA; gegen Widerstände kämpfen
MA QUA SA; Härten
MA QUA SA; Trauer
MA QUA SO; Streit oder gar Unfall
MA QUA UR; Bruchspannung
MA QUA UR; innere Unruhe
MA QUA UR; Neigung zu Unfällen
MA QUA UR; Neigung zu Verletzungen
MA QUA UR; Nervenproben
MA QUA UR; überspannte Energie
MA QUA VE; sexuelle Gespanntheit
MA SEX AS; andere anleiten
MA SEX AS; erfolgreiches tun mit anderen
MA SEX AS; zusammen emsig tun
MA SEX JU; Arbeitsfreude
MA SEX JU; geschäftliche Erfolge
MA SEX JU; günstig für Prozesse
MA SEX JU; Marstransite wirken oft ein bis zwei Tage vor
MA SEX JU; Schaffenskraft
MA SEX KN; Arbeitskontakte
MA SEX KN; gute Teamarbeit
MA SEX KN; gutes Zusammenarbeiten
MA SEX MA; tun gelingt
MA SEX MC; beruflich günstig
MA SEX MC; Durchsetzungskraft im Beruf
MA SEX MC; Zielbewusstsein
MA SEX ME; hitzige Diskussion
MA SEX MO; Anziehungskraft
MA SEX MO; Energie und Schaffenskraft
MA SEX MO; Erfolge
MA SEX MO; Impulsivität
MA SEX MO; Marstransite wirken oft ein bis zwei Tage vor
MA SEX NE; Arbeit am Meer
MA SEX NE; entspannen
MA SEX NE; fischen
MA SEX NE; verinnerlichen
MA SEX PL; Arbeitseifer
MA SEX PL; gute Kraftkontrolle
MA SEX PL; sich gut durchsetzen
MA SEX SA; ausdauernd
MA SEX SA; aushalten können
MA SEX SA; Konzentration
MA SEX SA; sich durchbeißen
MA SEX SA; Willenskraft
Ma SEX SO; erfolgereich durchsetzen
MA SEX UR; freies Schaffen
MA SEX UR; sich frei machen
MA SEX UR; spontane Tat
MA SEX UR; Überraschungen
MA SEX VE; man bekommt was man wünscht
MA TRI AS; andere anleiten
MA TRI AS; erfolgreiches Teamwork
MA TRI AS; zusammen emsig tun
MA TRI JU; Arbeitsfreude
MA TRI JU; geschäftliche Erfolge
MA TRI JU; günstig für Prozesse
MA TRI JU; Marstransite wirken oft ein bis zwei Tage vor
MA TRI JU; Schaffenskraft
MA TRI KN; Arbeitskontakte
MA TRI KN; gute Teamarbeit
MA TRI KN; gutes Zusammenarbeiten
MA TRI MA; tun gelingt
MA TRI MC; beruflich günstig
MA TRI MC; Durchsetzungskraft im Beruf
MA TRI MC; Zielbewusstsein
MA TRI ME; hitzige Diskussion
MA TRI MO; Energie und Schaffenskraft
MA TRI MO; Erfolge
MA TRI MO; Impulsivität
MA TRI MO; Marstransite wirken oft ein bis zwei Tage vor
MA TRI PL; Arbeitseifer
MA TRI PL; gute Kraftkontrolle
MA TRI PL; sich gut durchsetzen
MA TRI SA; ausdauernd
MA TRI SA; aushalten können
MA TRI SA; Konzentration
MA TRI SA; sich durchbeißen
MA TRI SA; Willenskraft
MA TRI SO; erfolgereich durchsetzen
MA TRI UR; freies Schaffen
MA TRI UR; sich frei machen
MA TRI UR; spontane Tat
MA TRI UR; Überraschungen
MA TRI VE; man bekommt was man wünscht

JU KON AS; Erfolge und Anerkennungen
JU KON AS; gute Zusammenarbeit
JU KON AS; neue Bekanntschaften
JU KON JU; Erfolg
JU KON JU; gute Zeit
JU KON KN; erfolgreiche Verhandlungen
JU KON KN; gute Kontakte
JU KON KN; Teilhaberschaft
JU KON KN; Verlobung
JU KON MC; glückliche Lebenswendung
JU KON MC; Lebenserfolg
JU KON MC; neue Position erreichen
JU KON ME; gutes Gespräch
JU KON MO; Auslandsbeziehungen
JU KON MO; Begeisterung
JU KON MO; Glück mit Frauen
JU KON MO; glückliche Empfindungen
JU KON MO; Großmut
JU KON MO; Volksbeliebtheit
JU KON NE; Ideal und Wirklichkeit
JU KON NE; Idealismus
JU KON NE; Menschenliebe
JU KON NE; wie gewonnen so zerronnen
JU KON PL; Ausdehnung des Erfolges
JU KON PL; Machtzuwachs
JU KON SA; Krankheitsneigung
JU KON SA; Rechtsprobleme
JU KON SA; Übertreten der Ordnung
JU KON SA; unangenehme Veränderungen
JU KON SO; Glückstage
JU KON UR; Ausdehnung des Freiraums
JU KON UR; Gott sei Dank
JU KON UR; Schwierigkeiten beim Loslassen
JU KON UR; Schwierigkeiten beim neu Orientieren
JU OPP AS; Erweiterung in der Welt
JU OPP AS; sich der Welt öffnen
JU OPP AS; sich für andere öffnen
JU OPP JU; Erfolg, nicht ganz so leicht 
JU OPP KN; asoziales Verhalten
JU OPP KN; disharmonische Begegnungen
JU OPP MC; beruflich ungünstig
JU OPP MC; Glück zu Haus
JU OPP ME; man hüte seine Zunge
JU OPP ME; man hüte seine Zunge
JU OPP MO; Gefühlslabilität
JU OPP MO; juristische Konflikte
JU OPP MO; weltanschauliche Konflikte
JU OPP SO; Glückstage
JU OPP UR; Gott sei Dank
JU OPP UR; Stress
JU OPP UR; unverhofft davon kommen
JU OPP UR; zu große Risikobereitschaft
JU QUA AS; Probleme beim Erweitern
JU QUA AS; Rechtsstreitigkeiten
JU QUA JU; Erfolg, nicht ganz so leicht
JU QUA KN; asoziales Verhalten
JU QUA KN; disharmonische Begegnungen
JU QUA MC; nach Anerkennung ringen
JU QUA MC; unsichere Verhältnisse
JU QUA MO; Gefühlslabilität
JU QUA MO; juristische Konflikte
JU QUA MO; weltanschauliche Konflikte
JU QUA NE; Fehlspekulationen
JU QUA NE; Ideal und Wirklichkeit
JU QUA NE; sich betrügen lassen
JU QUA NE; Verträumtheit
JU QUA PL; ausgedehnter Machtkampf
JU QUA PL; große Fehlschläge
JU QUA PL; hohes Risiko eingehen
JU QUA PL; sein Glück überziehen
JU QUA PL; um alles kommen
JU QUA PL; Verluste durch die Gesellschaft
JU QUA SA; Krankheitsneigung
JU QUA SA; Rechtsprobleme
JU QUA SA; Übertreten der Ordnung
JU QUA SA; unangenehme Veränderungen
JU QUA SO; Glückstage
JU QUA UR; Gott sei Dank
JU QUA UR; Stress
JU QUA UR; unverhofft davon kommen
JU QUA UR; zu große Risikobereitschaft
JU SEX AS; Erfolge und Anerkennungen
JU SEX AS; gute Zusammenarbeit
JU SEX AS; neue Bekanntschaften
JU SEX JU; Erfolg
JU SEX JU; gute Zeit
JU SEX MC; glückliche Lebenswendung
JU SEX MC; Lebenserfolg
JU SEX MC; neue Position erreichen
JU SEX ME; gutes Gespräch
JU SEX MO; Begeisterung
JU SEX MO; Glück mit Frauen
JU SEX MO; glückliche Empfindungen
JU SEX MO; Großmut
JU SEX MO; Volksbeliebtheit
JU SEX NE; Entwicklung des spirituellen Weges
JU SEX NE; Gewinn mit wenig Anstrengung
JU SEX NE; idealistische Neigungen
JU SEX NE; Sehnsucht in die Ferne
JU SEX SA; Dinge heranreifen lassen
JU SEX SA; Geduld
JU SEX SA; Pflichtbewusstsein
JU SEX SA; Verantwortungsbewusstsein
JU SEX SO; Glückstage
JU SEX UR; gute Ideen
JU SEX UR; plötzliches Glück
JU SEX UR; Spielgewinn
JU TRI AS; Erfolge und Anerkennungen
JU TRI AS; gute Zusammenarbeit
JU TRI AS; neue Bekanntschaften
JU TRI JU; Erfolg
JU TRI JU; gute Zeit
JU TRI KN; erfolgreiche Verhandlungen
JU TRI KN; gute Kontakte
JU TRI KN; Teilhaberschaft
JU TRI KN; Verlobung
JU TRI MC; glückliche Lebenswendung
JU TRI MC; Lebenserfolg
JU TRI MC; neue Position erreichen
JU TRI ME; gutes Gespräch
JU TRI MO; Auslandsbeziehungen
JU TRI MO; Begeisterung
JU TRI MO; Glück mit Frauen
JU TRI MO; glückliche Empfindungen
JU TRI MO; Großmut
JU TRI MO; Volksbeliebtheit
JU TRI NE; Entwicklung des spirituellen Weges
JU TRI NE; Gewinn mit wenig Anstrengung
JU TRI NE; idealistische Neigungen
JU TRI NE; Sehnsucht in die Ferne
JU TRI PL; Ausdehnung des Erfolges
JU TRI PL; Machtzuwachs
JU TRI SA; Dinge heranreifen lassen
JU TRI SA; Geduld
JU TRI SA; Pflichtbewusstsein
JU TRI SA; Verantwortungsbewusstsein
JU TRI SO; Glückstage
JU TRI UR; gute Ideen
JU TRI UR; plötzliches Glück
JU TRI UR; Spielgewinn

SA KON AS; ärmliche Verhältnisse
SA KON AS; bedrückte Umwelt
SA KON AS; Entfremdung
SA KON AS; Krankenhausaufenthalt
SA KON AS; Krankheit
SA KON AS; mit anderen traurig sein
SA KON AS; Trauerfall erleben
SA KON AS; Trennung
SA KON KN; Entfremdungen
SA KON KN; gemeinsames Leid
SA KON KN; Hemmungen
SA KON KN; Nachteile oder Verluste durch andere
SA KON KN; sich durch andere bedrückt fühlen
SA KON KN; Trennungen (Trauerfall)
SA KON MC; bei schlechtem Niveau: Sturz
SA KON MC; beruflicher Aufstieg
SA KON MC; Prüfung von Beruf und Berufung
SA KON MC; Prüfung von Würde und Sinnhaftigkeit
SA KON ME; Zeit seine Urteile zu prüfen
SA KON MO; Angst vor Bloßstellung
SA KON MO; Eigensinn
SA KON MO; Entfremdung
SA KON MO; Haltlosigkeit
SA KON MO; Krankheit (durch seelisches Leid)
SA KON MO; Mangel an Selbstvertrauen
SA KON MO; Melancholie
SA KON MO; Minderwertigkeitsgefühle
SA KON MO; Schwierigkeiten auf Reisen
SA KON MO; Schwierigkeiten bei Veränderungen
SA KON MO; seelisch gehemmt
SA KON MO; Stimmungsschwankungen
SA KON MO; Trennung
SA KON NE; Zeit der Schwäche
SA KON PL; Mord
SA KON PL; selbst gewalttätig sein
SA KON PL; um den Erfolg gebracht werden
SA KON PL; unter Gewalttätigkeit leiden
SA KON PL; Verlust durch höhere Gewalt
SA KON SA; reife Zyklus vollendet
SA KON SO; Schwierigkeiten
SA KON UR; etwas aufgeben
SA KON UR; Gefahr vor Unfällen
SA KON UR; Lebenskämpfe
SA KON UR; plötzliche Trennung
SA KON UR; seelisches Leid
SA KON UR; Trauer
SA KON UR; Verluste
SA KON UR; Widerstand
SA OPP AS; ärmliche Verhältnisse
SA OPP AS; bedrückte Umwelt
SA OPP AS; Entfremdung
SA OPP AS; Krankenhausaufenthalt
SA OPP AS; Krankheit
SA OPP AS; mit anderen traurig sein
SA OPP AS; Trauerfall erleben
SA OPP AS; Trennung
SA OPP KN; Entfremdungen
SA OPP KN; gemeinsames Leid
SA OPP KN; Hemmungen
SA OPP KN; Nachteile oder Verluste
SA OPP KN; sich durch andere bedrückt fühlen
SA OPP KN; Trennungen (Trauerfall)
SA OPP MC; Erschwernisse in Beruf
SA OPP MC; Erschwernisse in Heim
SA OPP MC; ungünstig für Bauvorhaben oder Verkauf
SA OPP ME; es geht nicht wie man dachte
SA OPP MO; Angst vor Bloßstellung
SA OPP MO; Eigensinn
SA OPP MO; Entfremdung
SA OPP MO; Haltlosigkeit
SA OPP MO; Krankheit (durch seelisches Leid)
SA OPP MO; Mangel an Selbstvertrauen
SA OPP MO; Melancholie
SA OPP MO; Minderwertigkeitsgefühle
SA OPP MO; Schwierigkeiten auf Reisen
SA OPP MO; Schwierigkeiten bei Veränderungen
SA OPP MO; seelisch gehemmt
SA OPP MO; Stimmungsschwankungen
SA OPP MO; Trennung
SA OPP NE; Ansteckungsgefahr
SA OPP NE; hintergangen werden
SA OPP NE; Krankheit
SA OPP NE; Trauer
SA OPP NE; Vergiftung
SA OPP NE; Verlust
SA OPP NE; verzichten müssen
SA OPP NE; Zeit der Schwäche
SA OPP NE; zermürbende Zustände
SA OPP PL; Mord
SA OPP PL; selbst gewalttätig sein
SA OPP PL; um den Erfolg der Arbeit gebracht werden
SA OPP PL; unter Gewalttätigkeit leiden
SA OPP PL; Verlust durch höhere Gewalt
SA OPP SA; schwierige Zeit
SA OPP SO; Schwierigkeiten
SA OPP UR; etwas aufgeben
SA OPP UR; Gefahr vor Unfällen
SA OPP UR; Lebenskämpfe
SA OPP UR; plötzliche Trennung
SA OPP UR; seelisches Leid
SA OPP UR; Trauer
SA OPP UR; Verluste
SA OPP UR; Widerstand
SA QUA AS; ärmliche Verhältnisse
SA QUA AS; bedrückte Umwelt
SA QUA AS; Entfremdung
SA QUA AS; Krankenhausaufenthalt
SA QUA AS; Krankheit
SA QUA AS; mit anderen traurig sein
SA QUA AS; Trauerfall erleben
SA QUA ME; es geht nicht wie man dachte
SA QUA MO; Angst vor Bloßstellung
SA QUA MO; Eigensinn
SA QUA MO; Entfremdung
SA QUA MO; Haltlosigkeit
SA QUA MO; Krankheit (durch seelisches Leid)
SA QUA MO; Mangel an Selbstvertrauen
SA QUA MO; Melancholie
SA QUA MO; Minderwertigkeitsgefühle
SA QUA MO; Schwierigkeiten auf Reisen
SA QUA MO; Schwierigkeiten bei Veränderungen
SA QUA MO; seelisch gehemmt
SA QUA MO; Stimmungsschwankungen
SA QUA MO; Trennung
SA QUA NE; Zeit der Schwäche
SA QUA PL; selbst gewalttätig sein
SA QUA PL; um den Erfolg der Arbeit gebracht werden
SA QUA PL; unter Gewalttätigkeit leiden
SA QUA PL; Verlust durch höhere Gewalt
SA QUA SA; Schwierige Zeit
SA QUA SO; Schwierigkeiten
SA QUA UR; etwas aufgeben
SA QUA UR; Gefahr vor Unfällen
SA QUA UR; Lebenskämpfe
SA QUA UR; plötzliche Trennung
SA QUA UR; seelisches Leid
SA QUA UR; Trauer
SA QUA UR; Verluste
SA QUA UR; Widerstand
SA SEX MC; beruflicher Aufstieg
SA SEX MC; durchhalten können
SA SEX MC; Erfahrung sammeln
SA SEX MC; Hauskauf
SA SEX MC; konsolidieren im Beruf
SA SEX ME; Zeit seine Urteile zu prüfen
SA SEX MO; Besonnenheit
SA SEX MO; Erfolg durch Fleiß
SA SEX MO; ernste Verbindungen
SA SEX MO; gutes Verhältnis zu älteren Frauen
SA SEX MO; Pflichtbewusstsein
SA SEX MO; Reiselust
SA SEX MO; Selbstbeherrschung
SA SEX MO; Zufriedenheit
SA SEX NE; Ordnung ins eigene Chaos bringen
SA SEX NE; Reisen
SA SEX NE; Sehnsucht in die Ferne
SA SEX NE; Vertiefung in schwierige Probleme
SA SEX SA; gutes Reifen
SA SEX SO; gute Zeit der Verantwortung
SA SEX UR; alles bewältigen
SA TRI AS; Erfahrungen sammeln
SA TRI AS; mit älteren Leuten zusammen sein
SA TRI AS; viele Schwierigkeiten überwinden können
SA TRI KN; Verbindung mit älteren Leuten
SA TRI KN; Verbindung mit erfahrenen Leuten
SA TRI MC; beruflicher Aufstieg
SA TRI MC; durchhalten können
SA TRI MC; Erfahrung sammeln
SA TRI MC; Hauskauf
SA TRI MC; konsolidieren im Beruf
SA TRI ME; Zeit seine Urteile zu prüfen
SA TRI MO; Besonnenheit
SA TRI MO; Erfolg durch Fleiß
SA TRI MO; ernste Verbindungen
SA TRI MO; gutes Verhältnis zu älteren Frauen
SA TRI MO; Pflichtbewusstsein
SA TRI MO; Reiselust
SA TRI MO; Selbstbeherrschung
SA TRI MO; Zufriedenheit
SA TRI NE; Ordnung ins eigene Chaos bringen
SA TRI NE; Reisen
SA TRI NE; Sehnsucht in die Ferne
SA TRI NE; Vertiefung in schwierige Probleme
SA TRI PL; an Massenleistungen beteiligt sein
SA TRI PL; fanatische, mühevolle Bestrebungen
SA TRI PL; schweigen und handeln
SA TRI PL; sich für Erfolg plagen
SA TRI SA; gutes reifen
SA TRI SO; gute Zeit der Verantwortung
SA TRI UR; alles bewältigen
SA+KON NE; erkranken
SA+KON NE; erkranken
SA+KON NE; erkranken

UR KON AS; Zeit größer Erschütterung
UR KON CH; plötzliche Heilung
UR KON CH; plötzliche Heilung
UR KON CH; Trennung
UR KON CH; Wunde heilt
UR KON JU; Glück haben
UR KON KN; eigene Verwurzelung erschüttert
UR KON MA; Unfallgefahr
UR KON MC; Zeit für berufliche Erneuerung
UR KON ME; das denken steht Kopf
UR KON MO; Aufregungen mit der Mutter
UR KON MO; Aufregungen mit weiblichen Verwandten
UR KON MO; emotionale Impulsivität
UR KON MO; emotionale Störungen
UR KON MO; emotionaler Aufruhr
UR KON MO; erschüttertes Gemüt
UR KON MO; Männer verlieben sich
UR KON MO; plötzliche Ereignisse mit Frauen
UR KON MO; plötzliche Leidenschaft
UR KON MO; plötzliche Stimmungswechsel
UR KON MO; psychische Veränderungen
UR KON MO; sich lebendiger fühlen
UR KON MO; überstürztes Handeln
UR KON MO; Verwirrung
UR KON SA; Zusammenbruch
UR KON SO; alles bricht zusammen
UR KON SO; aufregende Zeit
UR KON SO; Zeit etwas neues zu beginnen
UR KON VE; Wünsche erfüllen sich
UR OPP AS; Zeit größer Erschütterung
UR OPP JU; Glück im Unglück
UR OPP KN; eigene Verwurzelung erschüttert
UR OPP MA; Unfallgefahr
UR OPP MC; Aufregungen im Heim
UR OPP MC; Zeit für berufliche Erneuerung
UR OPP ME; alles anders als gedacht
UR OPP ME; alles anders als gedacht
UR OPP MO; eigenes Verhalten überprüfen
UR OPP MO; erschüttertes Gemüt
UR OPP MO; Konfrontation mit dem eigenen Infantilen
UR OPP MO; sich aus selbst geschmiedeten Beschränkungen lösen
UR OPP MO; Umgang mit Frauen problematisch
UR OPP PL; großer Unruhe
UR OPP PL; Jugend flackert auf
UR OPP PL; loslassen alter Denkweisen
UR OPP PL; loslassen gewohnter Lebensumstände
UR OPP PL; loslassen, was keine Funktion mehr hat
UR OPP PL; Neugeburt des Bewusstseins
UR OPP PL; umwälzende Veränderungen
UR OPP SA; Zusammenbruch
UR OPP SO; aufregende Zeit
UR OPP SO; aufregende Zeit
UR OPP SO; Zeit etwas neues zu beginnen
UR OPP VE; Wünsche erfüllen sich nicht
UR OPP VE; Wünsche erfüllen sich nicht
UR QUA AS; Zeit größer Erschütterung
UR QUA JU; Glück im Unglück
UR QUA KN; eigene Verwurzelung erschüttert
UR QUA MA; Unfallgefahr
UR QUA MC; Zeit für berufliche Erneuerung
UR QUA NE; einer Idee verfallen
UR QUA NE; Irrweg einschlagen
UR QUA NE; Verwirrung
UR QUA SA; Zusammenbruch
UR QUA SO; alles bricht zusammen
UR QUA SO; alles bricht zusammen
UR QUA SO; Zeit etwas neues zu beginnen
UR SEX AS; Zeit für Erneuerung 
UR SEX JU; Glück haben
UR SEX KN; neuer Bekanntenkreis
UR SEX MA; neues beginnen
UR SEX MC; Zeit für berufliche Erneuerung
UR SEX ME; kreatives schreiben
UR SEX SA; neu ordnen
UR SEX SO; Zeit etwas neues zu beginnen
UR SEX VE; Wünsche erfüllen sich
UR TRI AS; Zeit für Erneuerung
UR TRI JU; Glück haben
UR TRI KN; neuer Bekanntenkreis
UR TRI MA; neues beginnen
UR TRI MC; Zeit für berufliche Erneuerung
UR TRI ME; kreatives schreiben
UR TRI MO; Hochzeit
UR TRI MO; Trennung
UR TRI NE; Armen helfen
UR TRI NE; idealistische, philosophische Anliegen
UR TRI NE; Kranken helfen
UR TRI NE; Leidensgesetze des Buddha entdecken
UR TRI NE; über den Sinn des Seins nachdenken
UR TRI NE; Unterdrückten helfen
UR TRI SA; neu ordnen
UR TRI SO; Zeit etwas neues zu beginnen
UR TRI VE; Wünsche erfüllen sich

NE KON AS; alles entgleitet einen 
NE KON AS; unsichere Zukunft
NE KON JU; unzuverlässige Glückssträhne
NE KON KN; People we know slip away
NE KON MA; nichts geht nach eigenen Willen
NE KON ME; Illusionen nachhängen
NE KON MO; Zeit von Enttäuschung
NE KON MO; Zeit von innerer Unsicherheit
NE KON SA; Auflösung der Ordnung
NE KON SO; Zeit der Schwäche
NE KON UR; Auflösung der Freiheit
NE KON VE; von Lieben enttäuscht
NE OPP JU; unzuverlässige Glückssträhne
NE OPP KN; People we know slip away
NE OPP MA; nichts geht nach eigenen Willen
NE OPP ME; Illusionen nachhängen
NE OPP MO; Zeit von Enttäuschung
NE OPP MO; Zeit von innerer Unsicherheit
NE OPP PL; eigene Schlechtigkeit entdecken
NE OPP PL; Gefahr betrogen zu werden
NE OPP PL; psychische Zwänge
NE OPP PL; spirituelle Entwicklung geht voran
NE OPP PL; Tabulösung
NE OPP SA; Auflösung der Ordnung
NE OPP SO; Zeit der Schwäche
NE OPP UR; Auflösung der Freiheit
NE OPP VE; von Lieben enttäuscht
NE QUA AS; alles entgleitet einen 
NE QUA AS; unsichere Zukunft
NE QUA JU; unzuverlässige Glückssträhne
NE QUA KN; People we know slip away
NE QUA MA; nichts geht nach eigenen Willen
NE QUA ME; Illusionen nachhängen
NE QUA MO; Zeit von Enttäuschung
NE QUA MO; Zeit von innerer Unsicherheit
NE QUA SA; Auflösung der Ordnung
NE QUA SO; Zeit der Schwäche
NE QUA UR; Auflösung der Freiheit
NE QUA VE; von Lieben enttäuscht
NE SEX AS; sich neuen zuwenden 
NE SEX JU; unzuverlässige Glückssträhne
NE SEX KN; spirituelle Menschen kennenlernen
NE SEX MA; Inspiration in Tun
NE SEX MC; gestärkter Idealismus
NE SEX MC; Interesse am Esoterischen
NE SEX MC; neue Ziele erstreben
NE SEX MC; Religion annehmen
NE SEX MC; Sehnsucht nach Erkenntnis
NE SEX MC; Sekte beitreten
NE SEX MC; selbstlos handeln
NE SEX MC; übersinnliches entdecken
NE SEX MC; utopische Ziele
NE SEX MC; Verwirrung
NE SEX ME; auf Zukunft hoffen
NE SEX ME; esoterisches Interesse 
NE SEX MO; esoterisches Interesse 
NE SEX SA; Auflösung der Ordnung
NE SEX SO; etwas entschwindet
NE SEX UR; Auflösung der Freiheit
